value	group
0.752159	Alpha
0.758533	Alpha
0.779682	Alpha
0.770251	Alpha
0.763942	Alpha
0.762521	Alpha
0.768388	Alpha
0.769512	Alpha
0.775575	Alpha
0.774782	Alpha
0.775555	Alpha
0.766551	Alpha
0.766024	Alpha
0.763034	Alpha
0.760093	Alpha
0.776197	Alpha
0.768569	Alpha
0.750979	Alpha
0.756528	Alpha
0.754501	Alpha
0.763216	Alpha
0.755783	Alpha
0.761171	Alpha
0.765437	Alpha
0.751847	Alpha
0.755353	Alpha
0.757306	Alpha
0.776835	Alpha
0.784641	Alpha
0.782457	Alpha
0.753084	Alpha
0.762471	Alpha
0.767415	Alpha
0.765518	Alpha
0.755692	Alpha
0.753583	Alpha
0.755788	Alpha
0.75483	Alpha
0.755965	Alpha
0.756868	Alpha
0.768758	Alpha
0.767825	Alpha
0.762388	Alpha
0.759462	Alpha
0.760023	Alpha
0.766208	Alpha
0.77649	Alpha
0.77481	Alpha
0.772492	Alpha
0.748654	Alpha
0.770945	Alpha
0.773172	Alpha
0.76725	Alpha
0.760499	Alpha
0.766998	Alpha
0.767685	Alpha
0.767247	Alpha
0.757253	Alpha
0.757406	Alpha
0.766326	Alpha
0.766212	Alpha
0.777663	Alpha
0.779991	Alpha
0.776068	Alpha
0.77055	Alpha
0.767292	Alpha
0.764246	Alpha
0.773218	Alpha
0.770688	Alpha
0.761764	Alpha
0.772297	Alpha
0.773936	Alpha
0.780447	Alpha
0.776392	Alpha
0.770105	Alpha
0.766316	Alpha
0.770113	Alpha
0.781609	Alpha
0.775327	Alpha
0.765726	Alpha
0.774182	Alpha
0.774351	Alpha
0.77088	Alpha
0.768588	Alpha
0.763811	Alpha
0.764351	Alpha
0.767188	Alpha
0.767874	Alpha
0.767487	Alpha
0.767566	Alpha
0.768809	Alpha
0.771982	Alpha
0.767955	Alpha
0.768616	Alpha
0.767363	Alpha
0.767391	Alpha
0.765659	Alpha
0.77638	Alpha
0.773313	Alpha
0.772663	Alpha
0.750473	Alpha
0.749907	Alpha
0.756137	Alpha
0.756473	Alpha
0.759709	Alpha
0.757868	Alpha
0.758169	Alpha
0.752487	Alpha
0.750171	Alpha
0.762962	Alpha
0.760192	Alpha
0.752473	Alpha
0.753803	Alpha
0.753556	Alpha
0.752653	Alpha
0.756826	Alpha
0.755229	Alpha
0.754785	Alpha
0.759696	Alpha
0.776807	Alpha
0.766178	Alpha
0.765005	Alpha
0.763235	Alpha
0.770065	Alpha
0.761477	Alpha
0.761602	Alpha
0.759825	Alpha
0.769938	Alpha
0.764463	Alpha
0.757821	Alpha
0.758399	Alpha
0.781105	Alpha
0.772087	Alpha
0.762834	Alpha
0.765499	Alpha
0.765488	Alpha
0.762602	Alpha
0.75582	Alpha
0.756017	Alpha
