value	group
0.756537	Alpha
0.778047	Alpha
0.765914	Alpha
0.772385	Alpha
0.770721	Alpha
0.76158	Alpha
0.759658	Alpha
0.76347	Alpha
0.76251	Alpha
0.772879	Alpha
0.768375	Alpha
0.766057	Alpha
0.756139	Alpha
0.755665	Alpha
0.772235	Alpha
0.771384	Alpha
0.766351	Alpha
0.770969	Alpha
0.773549	Alpha
0.770794	Alpha
0.774422	Alpha
0.77039	Alpha
0.769966	Alpha
0.767834	Alpha
0.774079	Alpha
0.767738	Alpha
0.768723	Alpha
0.764425	Alpha
0.763469	Alpha
0.769284	Alpha
0.775042	Alpha
0.765021	Alpha
0.748665	Alpha
0.784822	Alpha
0.776814	Alpha
0.780257	Alpha
0.780536	Alpha
0.779849	Alpha
0.756408	Alpha
0.761261	Alpha
0.760375	Alpha
0.757267	Alpha
0.773776	Alpha
0.767136	Alpha
0.768147	Alpha
0.781008	Alpha
0.780553	Alpha
0.773091	Alpha
0.773192	Alpha
0.777551	Alpha
0.76339	Alpha
0.758307	Alpha
0.683891	Beta
0.691331	Beta
0.692288	Beta
0.691146	Beta
0.6911	Beta
0.692735	Beta
0.702911	Beta
0.703347	Beta
0.708383	Beta
0.706427	Beta
0.686348	Beta
0.692055	Beta
0.694233	Beta
0.694299	Beta
0.703181	Beta
0.693889	Beta
0.700621	Beta
0.679851	Beta
0.700361	Beta
0.693142	Beta
0.68229	Beta
0.681938	Beta
0.68045	Beta
0.687354	Beta
0.68564	Beta
0.684053	Beta
0.685964	Beta
0.690731	Beta
0.690243	Beta
0.700478	Beta
0.70413	Beta
0.690984	Beta
0.700073	Beta
0.691283	Beta
0.690911	Beta
0.68834	Beta
0.694492	Beta
0.690279	Beta
0.687324	Beta
0.690903	Beta
0.681145	Beta
0.695253	Beta
0.702078	Beta
0.703131	Beta
0.702583	Beta
0.701569	Beta
0.701718	Beta
0.701587	Beta
0.690481	Beta
0.689717	Beta
0.690983	Beta
0.699293	Beta
0.699286	Beta
0.700299	Beta
0.685403	Beta
0.694109	Beta
0.69631	Beta
0.695933	Beta
0.705917	Beta
0.707486	Beta
0.706686	Beta
0.69966	Beta
0.704117	Beta
0.695281	Beta
0.68758	Beta
0.698131	Beta
0.695915	Beta
0.69654	Beta
0.693833	Beta
0.704394	Beta
0.697786	Beta
0.697663	Beta
0.687027	Beta
0.688156	Beta
0.689583	Beta
0.694787	Beta
0.700482	Beta
0.700342	Beta
0.699096	Beta
0.692808	Beta
0.692074	Beta
0.689651	Beta
0.689716	Beta
0.689301	Beta
0.69108	Beta
0.694399	Beta
0.692449	Beta
0.690505	Beta
0.695646	Beta
0.700962	Beta
0.695293	Beta
0.693171	Beta
0.694263	Beta
0.698613	Beta
0.699501	Beta
0.694951	Beta
0.691976	Beta
0.692094	Beta
0.695238	Beta
0.694527	Beta
0.698343	Beta
0.701615	Beta
0.686205	Beta
0.691182	Beta
0.693953	Beta
0.701782	Beta
0.688699	Beta
0.684722	Beta
0.700282	Beta
0.696331	Beta
0.695142	Beta
0.691196	Beta
0.688668	Beta
0.691122	Beta
0.69197	Beta
0.69719	Beta
0.696903	Beta
0.694545	Beta
0.689165	Beta
0.689145	Beta
0.687799	Beta
0.691314	Beta
0.693264	Beta
0.698791	Beta
0.699011	Beta
0.707234	Beta
0.691034	Beta
0.692088	Beta
0.692754	Beta
0.692826	Beta
0.69906	Beta
0.702922	Beta
0.687707	Beta
0.693092	Beta
0.68812	Beta
0.689087	Beta
0.697282	Beta
0.691225	Beta
0.694409	Beta
0.694996	Beta
0.695207	Beta
0.693878	Beta
0.690701	Beta
0.690796	Beta
0.694431	Beta
0.698081	Beta
0.688979	Beta
0.694562	Beta
0.688922	Beta
0.695065	Beta
0.692987	Beta
0.698159	Beta
0.690321	Beta
0.690859	Beta
0.692407	Beta
0.690089	Beta
0.689657	Beta
0.693326	Beta
0.694909	Beta
0.693883	Beta
0.688873	Beta
0.697208	Beta
0.69249	Beta
0.696058	Beta
0.691105	Beta
0.691211	Beta
0.69054	Beta
0.693051	Beta
0.693442	Beta
0.695419	Beta
0.698693	Beta
0.690488	Beta
0.695965	Beta
0.695624	Beta
0.695495	Beta
0.695294	Beta
0.693881	Beta
0.692947	Beta
0.696068	Beta
0.695294	Beta
0.694466	Beta
0.695714	Beta
0.69516	Beta
0.696483	Beta
0.683406	Beta
0.693833	Beta
0.692639	Beta
0.691638	Beta
0.692733	Beta
0.69374	Beta
0.709817	Beta
0.705967	Beta
0.704045	Beta
0.702255	Beta
0.694018	Beta
0.694456	Beta
0.693638	Beta
0.693483	Beta
0.693479	Beta
0.68469	Beta
0.688472	Beta
0.680858	Beta
0.687135	Beta
0.690383	Beta
0.696943	Beta
0.691863	Beta
0.699318	Beta
0.701833	Beta
0.6959	Beta
0.696131	Beta
0.697035	Beta
0.696549	Beta
0.695222	Beta
0.691888	Beta
0.694243	Beta
0.692533	Beta
0.688923	Beta
0.688786	Beta
0.690143	Beta
0.688847	Beta
0.687579	Beta
0.684368	Beta
0.694385	Beta
0.692741	Beta
0.678787	Beta
0.693995	Beta
0.691184	Beta
0.692663	Beta
0.6921	Beta
0.694488	Beta
0.691817	Beta
0.692342	Beta
0.696098	Beta
0.690409	Beta
0.688681	Beta
0.687839	Beta
0.690812	Beta
0.686853	Beta
0.693611	Beta
0.692142	Beta
0.691844	Beta
0.686186	Beta
0.688503	Beta
0.684634	Beta
0.69926	Beta
0.686886	Beta
0.69691	Beta
0.686799	Beta
0.697465	Beta
0.701002	Beta
0.695068	Beta
0.698521	Beta
0.698291	Beta
0.698342	Beta
0.700166	Beta
0.700481	Beta
0.688597	Beta
0.683132	Beta
0.700829	Beta
0.685049	Beta
0.693521	Beta
0.693571	Beta
0.694232	Beta
0.69592	Beta
0.695223	Beta
0.692422	Beta
0.691164	Beta
0.69126	Beta
0.69254	Beta
0.693968	Beta
0.692881	Beta
0.69258	Beta
0.688469	Beta
0.694626	Beta
0.69397	Beta
0.687241	Beta
0.685306	Beta
0.696175	Beta
0.697346	Beta
0.695748	Beta
0.697403	Beta
0.689149	Beta
0.69251	Beta
0.692524	Beta
0.69469	Beta
0.69269	Beta
0.694299	Beta
0.695467	Beta
0.69449	Beta
0.694821	Beta
0.695424	Beta
0.695985	Beta
0.69745	Beta
0.686755	Beta
0.687607	Beta
0.68847	Beta
0.695057	Beta
0.691454	Beta
0.698843	Beta
0.692063	Beta
0.693694	Beta
0.693146	Beta
0.69313	Beta
0.683517	Beta
0.684121	Beta
0.697277	Beta
0.70661	Beta
0.705566	Beta
0.705733	Beta
0.695183	Beta
0.688315	Beta
0.692539	Beta
0.697374	Beta
0.696834	Beta
0.685012	Beta
0.695483	Beta
0.692929	Beta
0.696261	Beta
0.683997	Beta
0.686023	Beta
0.685399	Beta
0.69679	Beta
0.70235	Beta
0.688261	Beta
0.695945	Beta
0.693593	Beta
0.69256	Beta
0.703804	Beta
0.694874	Beta
0.700998	Beta
0.691027	Beta
0.690741	Beta
0.688692	Beta
0.691073	Beta
0.69405	Beta
0.694341	Beta
0.683453	Beta
0.685305	Beta
0.686041	Beta
0.686929	Beta
0.691002	Beta
0.688602	Beta
0.695549	Beta
0.67809	Beta
0.695195	Beta
0.68847	Beta
0.702669	Beta
0.701041	Beta
0.705039	Beta
0.682046	Beta
0.698118	Beta
0.688642	Beta
0.691188	Beta
0.687998	Beta
0.686913	Beta
0.686397	Beta
0.692167	Beta
0.69326	Beta
0.691076	Beta
0.686816	Beta
0.68685	Beta
0.687026	Beta
0.688249	Beta
0.692446	Beta
0.691964	Beta
0.693292	Beta
0.695982	Beta
0.695195	Beta
0.685191	Beta
0.698515	Beta
0.697471	Beta
0.690638	Beta
0.694791	Beta
0.691158	Beta
0.701785	Beta
0.689634	Beta
0.6893	Beta
0.689364	Beta
0.691199	Beta
0.691211	Beta
0.704364	Beta
0.70224	Beta
0.700058	Beta
0.697627	Beta
0.691926	Beta
0.693002	Beta
0.693007	Beta
0.69423	Beta
0.689513	Beta
0.697663	Beta
0.698423	Beta
0.702019	Beta
0.692677	Beta
0.691821	Beta
0.69846	Beta
0.701153	Beta
0.700829	Beta
0.698297	Beta
0.699653	Beta
0.69713	Beta
0.699807	Beta
0.696192	Beta
0.693866	Beta
0.696736	Beta
0.69199	Beta
0.6922	Beta
0.697119	Beta
0.696859	Beta
0.695964	Beta
0.692229	Beta
0.694128	Beta
0.694535	Beta
0.693874	Beta
0.6928	Beta
0.693658	Beta
0.693441	Beta
0.697462	Beta
0.698335	Beta
0.69853	Beta
0.683248	Beta
0.682945	Beta
0.685841	Beta
0.685876	Beta
0.683688	Beta
0.691509	Beta
0.691429	Beta
0.694055	Beta
0.69384	Beta
0.684714	Beta
0.686059	Beta
0.687377	Beta
0.685547	Beta
0.685479	Beta
0.6855	Beta
0.688866	Beta
0.687482	Beta
0.693169	Beta
0.684689	Beta
0.703735	Beta
0.685166	Beta
0.689024	Beta
0.688481	Beta
0.695016	Beta
0.691289	Beta
0.691618	Beta
0.68191	Beta
0.6919	Beta
0.689133	Beta
0.694713	Beta
0.695346	Beta
0.695995	Beta
0.695229	Beta
0.690299	Beta
0.68902	Beta
0.689546	Beta
0.692365	Beta
0.690295	Beta
0.690558	Beta
0.698252	Beta
0.692995	Beta
0.694603	Beta
0.689361	Beta
0.699479	Beta
0.702189	Beta
0.697842	Beta
0.694405	Beta
0.683819	Beta
0.682697	Beta
0.697226	Beta
0.697477	Beta
0.699635	Beta
0.691878	Beta
0.692429	Beta
0.699645	Beta
0.699597	Beta
0.690645	Beta
0.697708	Beta
0.691854	Beta
0.690145	Beta
0.682982	Beta
0.693701	Beta
0.693987	Beta
0.690637	Beta
0.687194	Beta
0.690395	Beta
0.688415	Beta
0.692077	Beta
0.691153	Beta
0.691416	Beta
0.691172	Beta
0.692416	Beta
0.691116	Beta
0.68917	Beta
0.691157	Beta
0.687939	Beta
0.698062	Beta
0.700437	Beta
0.69271	Beta
0.696875	Beta
0.695573	Beta
0.69435	Beta
0.692459	Beta
0.691454	Beta
0.696023	Beta
0.693706	Beta
0.703902	Beta
0.694095	Beta
0.692799	Beta
0.689767	Beta
0.694872	Beta
0.695541	Beta
0.685869	Beta
0.69186	Beta
0.690289	Beta
0.699962	Beta
0.694352	Beta
0.694001	Beta
0.6934	Beta
0.697824	Beta
0.691418	Beta
0.690769	Beta
0.688379	Beta
0.696429	Beta
0.686505	Beta
0.69262	Beta
0.695059	Beta
0.696871	Beta
0.684204	Beta
0.684469	Beta
0.695524	Beta
0.68894	Beta
0.69689	Beta
0.691498	Beta
0.690829	Beta
0.692708	Beta
0.683941	Beta
0.694041	Beta
0.68812	Beta
0.692283	Beta
0.69173	Beta
0.690695	Beta
0.693129	Beta
0.690918	Beta
0.692721	Beta
0.693309	Beta
0.685746	Beta
0.68468	Beta
0.704009	Beta
0.703632	Beta
0.704075	Beta
0.691849	Beta
0.691038	Beta
0.691459	Beta
0.697726	Beta
0.691686	Beta
0.691451	Beta
0.699597	Beta
0.687759	Beta
0.699401	Beta
0.693458	Beta
0.700045	Beta
0.696081	Beta
0.696077	Beta
0.69235	Beta
0.687961	Beta
0.699484	Beta
0.699203	Beta
0.690981	Beta
0.691413	Beta
0.694483	Beta
0.692687	Beta
0.702411	Beta
0.699666	Beta
0.695617	Beta
0.692947	Beta
0.692797	Beta
0.679227	Beta
0.679247	Beta
0.69203	Beta
0.687171	Beta
0.68707	Beta
0.698467	Beta
0.689159	Beta
0.691621	Beta
0.693176	Beta
0.695197	Beta
0.694618	Beta
0.694412	Beta
0.696007	Beta
0.700083	Beta
0.690112	Beta
0.695671	Beta
0.69048	Beta
0.689567	Beta
0.690668	Beta
0.692907	Beta
0.693036	Beta
0.689935	Beta
0.693193	Beta
0.693809	Beta
0.692537	Beta
0.694533	Beta
0.689696	Beta
0.692015	Beta
0.685523	Beta
0.691479	Beta
0.698186	Beta
0.697912	Beta
0.689123	Beta
0.689909	Beta
0.685317	Beta
0.684523	Beta
0.695632	Beta
0.691187	Beta
0.695661	Beta
0.695304	Beta
0.687634	Beta
0.688843	Beta
0.689565	Beta
0.689837	Beta
0.694874	Beta
0.694672	Beta
0.694507	Beta
0.693711	Beta
0.693527	Beta
0.694661	Beta
0.693515	Beta
0.697917	Beta
0.687472	Beta
0.690349	Beta
0.693538	Beta
0.698474	Beta
0.697001	Beta
0.695772	Beta
0.694517	Beta
0.694419	Beta
0.693877	Beta
0.694862	Beta
0.689422	Beta
0.690477	Beta
0.691893	Beta
0.688714	Beta
0.687952	Beta
0.68785	Beta
0.686786	Beta
0.688769	Beta
0.68913	Beta
0.690891	Beta
0.695182	Beta
0.691037	Beta
0.690803	Beta
0.687399	Beta
0.687737	Beta
0.69669	Beta
0.68221	Beta
0.682096	Beta
0.682257	Beta
0.685689	Beta
0.685189	Beta
0.685914	Beta
0.698393	Beta
0.69424	Beta
0.696669	Beta
0.694916	Beta
0.697321	Beta
0.700617	Beta
0.696958	Beta
0.688143	Beta
0.687199	Beta
0.692775	Beta
0.693742	Beta
0.691623	Beta
0.688758	Beta
0.691062	Beta
0.685833	Beta
0.687321	Beta
0.687939	Beta
0.688239	Beta
0.687661	Beta
0.693107	Beta
0.698807	Beta
0.683913	Beta
0.689457	Beta
0.692713	Beta
0.685116	Beta
0.696575	Beta
0.69335	Beta
0.694927	Beta
0.697597	Beta
0.693004	Beta
0.701782	Beta
0.698593	Beta
0.698558	Beta
0.698786	Beta
0.692375	Beta
0.693995	Beta
0.691556	Beta
0.683095	Beta
0.698487	Beta
0.693796	Beta
0.699263	Beta
0.692567	Beta
0.693564	Beta
0.694026	Beta
0.6935	Beta
0.697416	Beta
0.690238	Beta
0.689109	Beta
0.696683	Beta
0.694033	Beta
0.696058	Beta
0.696676	Beta
0.695433	Beta
0.691897	Beta
0.690404	Beta
0.69242	Beta
0.69132	Beta
0.692968	Beta
0.687859	Beta
0.68762	Beta
0.690254	Beta
0.692813	Beta
0.698984	Beta
0.701256	Beta
0.69934	Beta
0.69986	Beta
0.699374	Beta
0.694231	Beta
0.69993	Beta
0.698455	Beta
0.698555	Beta
0.697603	Beta
0.692408	Beta
0.698973	Beta
0.695125	Beta
0.703522	Beta
0.696366	Beta
0.69925	Beta
0.697827	Beta
0.691102	Beta
0.701843	Beta
0.698747	Beta
0.694134	Beta
0.700804	Beta
0.697561	Beta
0.696844	Beta
0.69719	Beta
0.699183	Beta
0.698722	Beta
0.693469	Beta
0.695408	Beta
0.693847	Beta
0.698649	Beta
0.698888	Beta
0.694742	Beta
0.691544	Beta
0.68739	Beta
0.689683	Beta
0.693059	Beta
0.68595	Beta
0.689982	Beta
0.69423	Beta
0.696302	Beta
0.690486	Beta
0.697919	Beta
0.699047	Beta
0.693006	Beta
0.685205	Beta
0.701325	Beta
0.702988	Beta
0.695247	Beta
0.695283	Beta
0.6953	Beta
0.697294	Beta
0.692967	Beta
0.694696	Beta
0.694692	Beta
0.703275	Beta
0.702917	Beta
0.6977	Beta
0.686457	Beta
0.690248	Beta
0.695866	Beta
0.693731	Beta
0.692247	Beta
0.695327	Beta
0.695313	Beta
0.688681	Beta
0.693205	Beta
0.69433	Beta
0.690686	Beta
0.691416	Beta
0.687159	Beta
0.689275	Beta
0.697887	Beta
0.697124	Beta
0.696939	Beta
0.697193	Beta
0.694443	Beta
0.691894	Beta
0.692789	Beta
0.690348	Beta
0.700227	Beta
0.695887	Beta
0.696027	Beta
0.698836	Beta
0.681905	Beta
0.695365	Beta
0.693825	Beta
0.695348	Beta
0.698568	Beta
0.698385	Beta
0.697697	Beta
0.68719	Beta
0.691957	Beta
0.689603	Beta
0.691682	Beta
0.692759	Beta
0.693467	Beta
0.697062	Beta
0.688413	Beta
0.687808	Beta
0.6833	Beta
0.681728	Beta
0.696943	Beta
0.686515	Beta
0.688836	Beta
0.687725	Beta
0.693718	Beta
0.694666	Beta
0.690231	Beta
0.701541	Beta
0.689972	Beta
0.680204	Beta
0.701637	Beta
0.700005	Beta
0.701271	Beta
0.69984	Beta
0.701814	Beta
0.692277	Beta
0.693741	Beta
0.68948	Beta
0.696332	Beta
0.695188	Beta
0.695282	Beta
0.687251	Beta
0.689772	Beta
0.69111	Beta
0.699461	Beta
0.694667	Beta
0.687751	Beta
0.701358	Beta
0.693803	Beta
0.691846	Beta
0.694725	Beta
0.694731	Beta
0.694234	Beta
0.694202	Beta
0.695604	Beta
0.693865	Beta
0.696021	Beta
0.696702	Beta
0.696551	Beta
0.696786	Beta
0.694929	Beta
0.693848	Beta
0.693646	Beta
0.699529	Beta
0.691699	Beta
0.691878	Beta
0.691985	Beta
0.692707	Beta
0.694379	Beta
0.69394	Beta
0.693789	Beta
0.686395	Beta
0.695709	Beta
0.695549	Beta
0.695666	Beta
0.690707	Beta
0.691608	Beta
0.690755	Beta
0.692936	Beta
0.694845	Beta
0.690696	Beta
0.690433	Beta
0.690321	Beta
0.688399	Beta
0.685606	Beta
0.686744	Beta
0.681994	Beta
0.693578	Beta
0.688215	Beta
0.698474	Beta
0.69601	Beta
0.691614	Beta
0.697241	Beta
0.692593	Beta
0.695542	Beta
0.698038	Beta
0.701065	Beta
0.701515	Beta
0.700676	Beta
0.699706	Beta
0.692368	Beta
0.69462	Beta
0.691673	Beta
0.688688	Beta
0.689405	Beta
0.689298	Beta
0.690516	Beta
0.686177	Beta
0.691157	Beta
0.686901	Beta
0.684594	Beta
0.687621	Beta
0.685815	Beta
0.68545	Beta
0.697581	Beta
0.70105	Beta
0.695502	Beta
0.697761	Beta
0.698676	Beta
0.697564	Beta
0.69782	Beta
0.697738	Beta
0.68883	Beta
0.691729	Beta
0.693191	Beta
0.692536	Beta
0.693604	Beta
0.697195	Beta
0.694728	Beta
0.695414	Beta
0.695482	Beta
0.704061	Beta
0.696158	Beta
0.690528	Beta
0.700917	Beta
0.685662	Beta
0.692787	Beta
0.693113	Beta
0.693346	Beta
0.695433	Beta
0.688825	Beta
0.691791	Beta
0.698328	Beta
0.699288	Beta
0.691013	Beta
0.691776	Beta
0.694546	Beta
0.695053	Beta
0.691182	Beta
0.699485	Beta
0.695204	Beta
0.695169	Beta
0.688512	Beta
0.68741	Beta
0.687434	Beta
0.68816	Beta
0.687314	Beta
0.696053	Beta
0.695629	Beta
0.695018	Beta
0.684133	Beta
0.686327	Beta
0.697671	Beta
0.693033	Beta
0.693033	Beta
0.692586	Beta
0.693872	Beta
0.692456	Beta
0.693793	Beta
0.69183	Beta
0.693346	Beta
0.695029	Beta
0.69613	Beta
0.694253	Beta
0.698886	Beta
0.694145	Beta
0.701956	Beta
0.698585	Beta
0.701272	Beta
0.701095	Beta
0.699335	Beta
0.700448	Beta
0.699393	Beta
0.692162	Beta
0.69207	Beta
0.691166	Beta
0.689302	Beta
0.689339	Beta
0.699665	Beta
0.693904	Beta
0.694258	Beta
0.696398	Beta
0.691574	Beta
0.693683	Beta
0.687158	Beta
0.686162	Beta
0.684318	Beta
0.678418	Beta
0.678939	Beta
0.705555	Beta
0.705335	Beta
0.695544	Beta
0.690603	Beta
0.69063	Beta
0.68427	Beta
0.695894	Beta
0.695337	Beta
0.695258	Beta
0.692244	Beta
0.698091	Beta
0.697171	Beta
0.700845	Beta
0.699173	Beta
0.68767	Beta
0.687799	Beta
0.68826	Beta
0.690897	Beta
0.687801	Beta
0.689254	Beta
0.692046	Beta
0.699801	Beta
0.701118	Beta
0.697471	Beta
0.696557	Beta
0.691817	Beta
0.693475	Beta
0.692953	Beta
0.698706	Beta
0.697022	Beta
0.694335	Beta
0.703506	Beta
0.688562	Beta
0.704521	Beta
0.701429	Beta
0.699339	Beta
0.701088	Beta
0.692145	Beta
0.698196	Beta
0.697267	Beta
0.686592	Beta
0.688352	Beta
0.687996	Beta
0.687736	Beta
0.693103	Beta
0.687271	Beta
0.699536	Beta
0.694283	Beta
0.694552	Beta
0.694097	Beta
0.689611	Beta
0.691595	Beta
0.693589	Beta
0.689621	Beta
0.690493	Beta
0.691259	Beta
0.689573	Beta
0.693698	Beta
0.695642	Beta
0.693134	Beta
0.691457	Beta
0.690459	Beta
0.692328	Beta
0.693414	Beta
0.694169	Beta
0.695428	Beta
0.689647	Beta
0.692513	Beta
0.692373	Beta
0.693783	Beta
0.692962	Beta
0.693997	Beta
0.695809	Beta
0.694262	Beta
0.698999	Beta
0.698652	Beta
0.694909	Beta
0.696775	Beta
0.70069	Beta
0.697726	Beta
0.698222	Beta
0.692878	Beta
0.692437	Beta
0.69617	Beta
0.695822	Beta
0.693299	Beta
0.692408	Beta
0.688483	Beta
0.693153	Beta
0.687617	Beta
0.693285	Beta
0.695197	Beta
0.689115	Beta
0.686832	Beta
0.691501	Beta
0.694302	Beta
0.699981	Beta
0.69568	Beta
0.699794	Beta
0.697228	Beta
0.696331	Beta
0.695657	Beta
0.698266	Beta
0.694113	Beta
0.692761	Beta
0.697542	Beta
0.692514	Beta
0.695916	Beta
0.691014	Beta
0.695241	Beta
0.694824	Beta
0.694528	Beta
0.692757	Beta
0.693088	Beta
0.691293	Beta
0.692094	Beta
0.691144	Beta
0.68981	Beta
0.689595	Beta
0.693222	Beta
0.700487	Beta
0.691554	Beta
0.692538	Beta
0.692659	Beta
0.695545	Beta
0.694972	Beta
0.691882	Beta
0.691944	Beta
0.692997	Beta
0.701589	Beta
0.689996	Beta
0.69156	Beta
0.69364	Beta
0.691543	Beta
0.691732	Beta
0.689286	Beta
0.692088	Beta
0.69176	Beta
0.693396	Beta
0.693976	Beta
0.695462	Beta
0.69308	Beta
0.690725	Beta
0.693871	Beta
0.700686	Beta
0.698996	Beta
0.69795	Beta
0.696795	Beta
0.698188	Beta
0.691447	Beta
0.690457	Beta
0.685644	Beta
0.698511	Beta
0.695371	Beta
0.690115	Beta
0.69031	Beta
0.693464	Beta
0.694753	Beta
0.696584	Beta
0.699225	Beta
0.695837	Beta
0.686165	Beta
0.688878	Beta
0.69408	Beta
0.693236	Beta
0.69587	Beta
0.69489	Beta
0.693066	Beta
0.694337	Beta
0.693086	Beta
0.683388	Beta
0.695915	Beta
0.695687	Beta
0.695534	Beta
0.692897	Beta
0.689347	Beta
0.687072	Beta
0.696901	Beta
0.700202	Beta
0.694279	Beta
0.693577	Beta
0.70119	Beta
0.697641	Beta
0.701046	Beta
0.697322	Beta
0.69953	Beta
0.688209	Beta
0.697925	Beta
0.69526	Beta
0.695193	Beta
0.695345	Beta
0.693192	Beta
0.686191	Beta
0.687231	Beta
0.690247	Beta
0.690689	Beta
0.692202	Beta
0.683137	Beta
0.68674	Beta
0.683313	Beta
0.691655	Beta
0.690132	Beta
0.690492	Beta
0.690202	Beta
0.692434	Beta
0.691734	Beta
0.687361	Beta
0.687986	Beta
0.688876	Beta
0.699924	Beta
0.703048	Beta
0.703065	Beta
0.696529	Beta
0.700505	Beta
0.693163	Beta
0.689459	Beta
0.693507	Beta
0.693433	Beta
0.696136	Beta
0.692439	Beta
0.69206	Beta
0.691387	Beta
0.689213	Beta
0.687767	Beta
0.67787	Beta
0.712655	Beta
0.705768	Beta
0.703994	Beta
0.703154	Beta
0.68618	Beta
0.697132	Beta
0.702775	Beta
0.690143	Beta
0.690561	Beta
0.701558	Beta
0.703525	Beta
0.703292	Beta
0.701969	Beta
0.696402	Beta
0.696667	Beta
0.686962	Beta
0.692065	Beta
0.702168	Beta
0.684079	Beta
0.682058	Beta
0.681972	Beta
0.68441	Beta
0.688164	Beta
0.686076	Beta
0.690331	Beta
0.700751	Beta
0.69997	Beta
0.702004	Beta
0.700271	Beta
0.700702	Beta
0.68504	Beta
0.684856	Beta
0.689169	Beta
0.689941	Beta
0.69821	Beta
0.688394	Beta
0.689549	Beta
0.68841	Beta
0.69091	Beta
0.689886	Beta
0.690674	Beta
0.685289	Beta
0.694501	Beta
0.694614	Beta
0.692672	Beta
0.694243	Beta
0.695189	Beta
0.695112	Beta
0.695842	Beta
0.695603	Beta
0.695777	Beta
0.696031	Beta
0.697355	Beta
0.695992	Beta
0.697042	Beta
0.690202	Beta
0.693909	Beta
0.696079	Beta
0.694647	Beta
0.692676	Beta
0.691502	Beta
0.688275	Beta
0.688501	Beta
0.69442	Beta
0.701359	Beta
0.693183	Beta
0.685848	Beta
0.692312	Beta
0.694977	Beta
0.691798	Beta
0.693487	Beta
0.69103	Beta
0.692252	Beta
0.687298	Beta
0.682424	Beta
0.684461	Beta
0.685845	Beta
0.685734	Beta
0.684875	Beta
0.693246	Beta
0.690494	Beta
0.700696	Beta
0.690703	Beta
0.690894	Beta
0.693225	Beta
0.692145	Beta
0.689981	Beta
0.697611	Beta
0.698034	Beta
0.695	Beta
0.70077	Beta
0.687641	Beta
0.688716	Beta
0.693994	Beta
0.694812	Beta
0.684693	Beta
0.681117	Beta
0.68155	Beta
0.688859	Beta
0.685224	Beta
0.686733	Beta
0.689637	Beta
0.691657	Beta
0.689063	Beta
0.68844	Beta
0.693255	Beta
0.692114	Beta
0.704354	Beta
0.705723	Beta
0.697157	Beta
0.69227	Beta
0.698877	Beta
0.680742	Beta
0.678755	Beta
0.680474	Beta
0.694526	Beta
0.691805	Beta
0.690394	Beta
0.690371	Beta
0.685867	Beta
0.702808	Beta
0.700152	Beta
0.695102	Beta
0.687057	Beta
0.689217	Beta
0.702176	Beta
0.697769	Beta
0.696376	Beta
0.697458	Beta
0.69477	Beta
0.694433	Beta
0.694849	Beta
0.695868	Beta
0.696148	Beta
0.691035	Beta
0.692961	Beta
0.683175	Beta
0.687634	Beta
0.690437	Beta
0.693305	Beta
0.697948	Beta
0.69808	Beta
0.693672	Beta
0.701168	Beta
0.706702	Beta
0.703916	Beta
0.702606	Beta
0.690841	Beta
0.692214	Beta
0.694826	Beta
0.696712	Beta
0.694334	Beta
0.699963	Beta
0.697893	Beta
0.697562	Beta
0.695596	Beta
0.68736	Beta
0.691799	Beta
0.694121	Beta
0.689426	Beta
0.697215	Beta
0.697888	Beta
0.690769	Beta
0.692188	Beta
0.693024	Beta
0.692718	Beta
0.692145	Beta
0.69878	Beta
0.69484	Beta
0.694988	Beta
0.679619	Beta
0.707412	Beta
0.706658	Beta
0.69658	Beta
0.69247	Beta
0.692849	Beta
0.6894	Beta
0.689799	Beta
0.691838	Beta
0.689004	Beta
0.693107	Beta
0.690806	Beta
0.691015	Beta
0.696939	Beta
0.6975	Beta
0.701156	Beta
0.692934	Beta
0.695456	Beta
0.696952	Beta
0.696223	Beta
0.696331	Beta
0.700414	Beta
0.697001	Beta
0.695541	Beta
0.695444	Beta
0.691197	Beta
0.692375	Beta
0.703025	Beta
0.704381	Beta
0.702451	Beta
0.700811	Beta
0.692593	Beta
0.687222	Beta
0.687397	Beta
0.686405	Beta
0.694294	Beta
0.692443	Beta
0.692997	Beta
0.687653	Beta
0.696942	Beta
0.695181	Beta
0.697316	Beta
0.684491	Beta
0.697343	Beta
0.693781	Beta
0.693605	Beta
0.696781	Beta
0.695469	Beta
0.694523	Beta
0.694891	Beta
0.690574	Beta
0.692208	Beta
0.693809	Beta
0.69458	Beta
0.694709	Beta
0.694604	Beta
0.698214	Beta
0.696327	Beta
0.694924	Beta
0.696153	Beta
0.695446	Beta
0.694782	Beta
0.701326	Beta
0.700619	Beta
0.68772	Beta
0.69049	Beta
0.691369	Beta
0.691426	Beta
0.690878	Beta
0.698663	Beta
0.694279	Beta
0.695726	Beta
0.694439	Beta
0.69599	Beta
0.697039	Beta
0.69228	Beta
0.692809	Beta
0.692129	Beta
0.691985	Beta
0.690527	Beta
0.689097	Beta
0.694517	Beta
0.689836	Beta
0.687974	Beta
0.7025	Beta
0.692375	Beta
0.694797	Beta
0.693096	Beta
0.694563	Beta
0.696215	Beta
0.694103	Beta
0.697168	Beta
0.694918	Beta
0.702316	Beta
0.702998	Beta
0.703315	Beta
0.690121	Beta
0.702869	Beta
0.701364	Beta
